account_id,driver_1,driver_1_shap,driver_2,driver_2_shap,driver_3,driver_3_shap,summary
ACC01612,amount anomaly,-0.210974,fraud ring structure,-0.069193,high avg transaction,-0.05324,amount anomaly | fraud ring structure | high avg transaction
ACC01168,amount anomaly,-0.192448,transfer hub,-0.052867,network influence,-0.050406,amount anomaly | transfer hub | network influence
ACC00025,amount anomaly,-0.214194,high avg transaction,-0.061973,fraud ring structure,-0.046161,amount anomaly | high avg transaction | fraud ring structure
ACC01548,amount anomaly,-0.178385,high avg transaction,-0.052112,large total outflow,-0.050774,amount anomaly | high avg transaction | large total outflow
ACC00782,amount anomaly,0.275923,fraud ring structure,0.087243,high avg transaction,0.076453,amount anomaly | fraud ring structure | high avg transaction
ACC00247,amount anomaly,-0.194174,high avg transaction,-0.055281,fraud ring structure,-0.042583,amount anomaly | high avg transaction | fraud ring structure
ACC01254,amount anomaly,-0.273434,high avg transaction,-0.077694,fraud ring structure,-0.049835,amount anomaly | high avg transaction | fraud ring structure
ACC01134,amount anomaly,-0.202374,large total outflow,-0.0566,high avg transaction,-0.054103,amount anomaly | large total outflow | high avg transaction
ACC00618,amount anomaly,-0.214902,high avg transaction,-0.066512,large total outflow,-0.044901,amount anomaly | high avg transaction | large total outflow
ACC01517,amount anomaly,-0.196502,high avg transaction,-0.054448,fraud ring structure,-0.045222,amount anomaly | high avg transaction | fraud ring structure
ACC01679,amount anomaly,-0.180939,high avg transaction,-0.055451,large total outflow,-0.050711,amount anomaly | high avg transaction | large total outflow
ACC00815,amount anomaly,0.289821,fraud ring structure,0.071038,network influence,0.065703,amount anomaly | fraud ring structure | network influence
ACC01848,amount anomaly,0.271732,fraud ring structure,0.071107,high avg transaction,0.070973,amount anomaly | fraud ring structure | high avg transaction
ACC00122,amount anomaly,-0.169065,high avg transaction,-0.051718,large total outflow,-0.044076,amount anomaly | high avg transaction | large total outflow
ACC01574,amount anomaly,-0.201701,fraud ring structure,-0.047152,high avg transaction,-0.046988,amount anomaly | fraud ring structure | high avg transaction
ACC01856,amount anomaly,-0.192665,high avg transaction,-0.05354,large total outflow,-0.040702,amount anomaly | high avg transaction | large total outflow
ACC00455,amount anomaly,-0.205883,high avg transaction,-0.074397,large total outflow,-0.045947,amount anomaly | high avg transaction | large total outflow
ACC00530,amount anomaly,-0.176837,high avg transaction,-0.045557,large total outflow,-0.040054,amount anomaly | high avg transaction | large total outflow
ACC00836,amount anomaly,-0.204215,network influence,-0.075667,high avg transaction,-0.059328,amount anomaly | network influence | high avg transaction
ACC01791,amount anomaly,-0.174769,network influence,-0.06946,high avg transaction,-0.058738,amount anomaly | network influence | high avg transaction
ACC00004,amount anomaly,0.524988,high avg transaction,-0.029942,large total outflow,-0.021773,amount anomaly | high avg transaction | large total outflow
ACC00128,amount anomaly,-0.206502,fraud ring structure,-0.05375,large total outflow,-0.049081,amount anomaly | fraud ring structure | large total outflow
ACC00267,amount anomaly,-0.183391,high avg transaction,-0.0459,large total outflow,-0.04362,amount anomaly | high avg transaction | large total outflow
ACC01150,amount anomaly,-0.195856,transfer hub,-0.074873,high avg transaction,-0.053223,amount anomaly | transfer hub | high avg transaction
ACC01166,amount anomaly,-0.184617,high avg transaction,-0.058156,transfer hub,-0.047246,amount anomaly | high avg transaction | transfer hub
ACC00678,amount anomaly,-0.195437,high avg transaction,-0.053702,network influence,-0.051679,amount anomaly | high avg transaction | network influence
ACC00794,amount anomaly,-0.194127,high avg transaction,-0.058139,large total outflow,-0.035986,amount anomaly | high avg transaction | large total outflow
ACC00500,amount anomaly,-0.186947,high avg transaction,-0.054727,network influence,-0.050209,amount anomaly | high avg transaction | network influence
ACC01608,amount anomaly,-0.193311,high avg transaction,-0.05939,transfer hub,-0.049676,amount anomaly | high avg transaction | transfer hub
ACC01222,amount anomaly,-0.227515,high avg transaction,-0.076405,large total outflow,-0.053219,amount anomaly | high avg transaction | large total outflow
ACC01956,amount anomaly,-0.189359,high avg transaction,-0.058545,fraud ring structure,-0.051348,amount anomaly | high avg transaction | fraud ring structure
ACC01074,amount anomaly,-0.199226,high avg transaction,-0.059803,fraud ring structure,-0.042361,amount anomaly | high avg transaction | fraud ring structure
ACC00718,amount anomaly,-0.194489,fraud ring structure,-0.069238,high avg transaction,-0.065056,amount anomaly | fraud ring structure | high avg transaction
ACC00315,amount anomaly,-0.28553,high avg transaction,-0.058719,large total outflow,-0.049732,amount anomaly | high avg transaction | large total outflow
ACC00392,amount anomaly,-0.185473,high avg transaction,-0.051783,large total outflow,-0.039983,amount anomaly | high avg transaction | large total outflow
ACC00320,amount anomaly,-0.193691,high avg transaction,-0.053393,large total outflow,-0.040855,amount anomaly | high avg transaction | large total outflow
ACC00057,amount anomaly,-0.205088,high avg transaction,-0.069192,large total outflow,-0.052479,amount anomaly | high avg transaction | large total outflow
ACC01550,amount anomaly,-0.188527,network influence,-0.066212,high avg transaction,-0.063993,amount anomaly | network influence | high avg transaction
ACC00072,amount anomaly,-0.19088,high avg transaction,-0.063123,network influence,-0.048016,amount anomaly | high avg transaction | network influence
ACC00882,amount anomaly,0.282517,high avg transaction,0.065051,diverse receivers,0.055948,amount anomaly | high avg transaction | diverse receivers
ACC01071,amount anomaly,-0.272858,high avg transaction,-0.069979,large total outflow,-0.053999,amount anomaly | high avg transaction | large total outflow
ACC01844,amount anomaly,-0.191555,high avg transaction,-0.057828,transfer hub,-0.055052,amount anomaly | high avg transaction | transfer hub
ACC00478,amount anomaly,-0.205316,high avg transaction,-0.064566,network influence,-0.055847,amount anomaly | high avg transaction | network influence
ACC00898,amount anomaly,-0.152431,high avg transaction,-0.05104,fraud ring structure,-0.046187,amount anomaly | high avg transaction | fraud ring structure
