account_id,is_fraud,community_id,degree_centrality,betweenness_centrality,pagerank,clustering_coeff,eigenvector_centrality,total_sent,n_sent,mean_sent,std_sent,unique_receivers,total_received,n_received,unique_senders
ACC00453,0,3,0.010505252626313155,0.0052670229008398095,0.0003432079482116524,3.6439826235565785e-06,0.0,603.59,10.0,60.359,86.89443077026796,10.0,383.37,11.0,11.0
ACC01171,0,3,0.011505752876438218,0.0013214815616016218,0.00043086806219940084,6.935910122923749e-06,0.0,2151.88,17.0,126.58117647058825,138.38143968223994,17.0,852.79,6.0,6.0
ACC01882,0,3,0.011005502751375688,0.001674135365981289,0.00046851904284634456,5.54917375470419e-06,0.0,658.94,10.0,65.894,90.2746735985976,10.0,790.16,12.0,12.0
ACC00068,1,5,0.0080040020010005,0.0005261639828923471,0.000508750873890777,7.521449492156098e-05,0.0,112310.94,8.0,14038.8675,13630.529631542726,5.0,1133.67,11.0,11.0
ACC01786,1,5,0.006003001500750374,0.000853780243475091,0.0009671445654828644,0.010478555256606138,0.0,54322.57,4.0,13580.6425,20917.016858282914,4.0,111824.45000000001,10.0,8.0
ACC01461,0,2,0.009504752376188093,0.0043959667521448415,0.00020003062813436708,3.121931145849294e-06,0.0,409.7,12.0,34.141666666666666,33.35917642141592,12.0,249.95,7.0,7.0
ACC01709,0,2,0.010505252626313155,0.0008432644750803831,0.0006276184545801854,5.791219614020968e-06,0.0,570.63,10.0,57.063,80.4113275671476,10.0,600.88,11.0,11.0
ACC01975,0,3,0.007003501750875437,0.0003755631569538523,0.00048044795455312963,0.0,0.0,203.72,5.0,40.744,27.727572558736547,5.0,712.97,9.0,9.0
ACC01508,1,3,0.009004502251125562,0.00017351017851267977,0.0010118375291205551,0.0001449547990360091,0.0,128858.25,4.0,32214.5625,23137.64228956554,4.0,36597.770000000004,14.0,14.0
ACC00979,0,2,0.010505252626313155,0.0032244600778867914,0.0004871200806077677,0.0,0.0,603.77,12.0,50.314166666666665,54.93049235307758,12.0,286.28,9.0,9.0
ACC00934,0,5,0.012006003001500749,0.00036792670609579064,0.0006227255772984973,1.1956314288213515e-05,0.0,620.73,9.0,68.97,51.61616704095724,9.0,1922.6100000000001,15.0,15.0
ACC01162,0,6,0.011005502751375688,0.0009248868678583536,0.0005171154358563743,1.1694687205977802e-06,0.0,1150.42,12.0,95.86833333333334,124.46116859438042,12.0,593.3,10.0,10.0
ACC00978,0,2,0.009004502251125562,0.0006493486983732106,0.0003235390911101281,2.8168163607055623e-06,0.0,390.11,9.0,43.345555555555556,33.895531457373224,9.0,713.7900000000001,9.0,9.0
ACC00850,0,2,0.014007003501750874,0.0044457914643007196,0.00042725145378563593,7.952933131728475e-07,0.0,1564.48,18.0,86.91555555555556,125.27094312269575,18.0,543.7,10.0,10.0
ACC00875,0,2,0.013006503251625811,0.0034141194721484867,0.0004416122253606303,8.299180371920058e-06,0.0,428.32,15.0,28.554666666666666,26.870198007316226,15.0,1018.78,12.0,11.0
ACC00973,0,3,0.006503251625812906,0.000548447396871609,0.00021980378844456078,0.0,0.0,816.5,9.0,90.72222222222223,121.31303359262122,9.0,120.14999999999999,4.0,4.0
ACC00278,0,3,0.011005502751375688,0.0018968443180549235,0.0004142729879385111,9.300528598719532e-06,0.0,690.5,8.0,86.3125,170.86524328922403,8.0,813.55,14.0,14.0
ACC01931,0,1,0.011505752876438218,0.0008413866592956138,0.0008844245577406794,3.931219171269178e-06,0.0,1209.8300000000002,9.0,134.42555555555558,290.57348786972597,9.0,1257.38,14.0,14.0
ACC01595,0,2,0.00850425212606303,0.0029420365838574943,0.000245367754672794,8.431597615053595e-06,0.0,558.05,10.0,55.80499999999999,47.81484805418129,10.0,267.55,7.0,7.0
ACC01444,1,2,0.0080040020010005,0.0006382069913835797,0.0002780241805519082,3.925623782154503e-06,0.0,622.55,7.0,88.93571428571428,54.650877960969325,7.0,26640.23,9.0,9.0
ACC01311,0,1,0.010505252626313155,0.0027041799177867213,0.0003016909565938919,6.586597004380047e-06,0.0,1775.8500000000001,11.0,161.44090909090912,355.3053045608677,11.0,758.37,10.0,10.0
ACC01852,0,1,0.009004502251125562,0.004358535624168441,0.00035223871597308155,0.0,0.0,567.69,11.0,51.608181818181826,59.28233646174581,11.0,367.4,7.0,7.0
ACC01379,0,1,0.013006503251625811,0.0009724582010725083,0.0007198027442301102,4.95294288669016e-06,0.0,786.78,15.0,52.452,45.15281990877519,15.0,1785.95,11.0,11.0
ACC01002,0,2,0.013506753376688344,0.006078364507579115,0.0004477737031904687,7.375566032194196e-06,0.0,602.47,16.0,37.654375,36.892355119319774,16.0,741.5799999999999,11.0,11.0
ACC00085,0,2,0.01250625312656328,0.000806960036574844,0.0006274618961885807,5.921971377128412e-06,0.0,794.58,12.0,66.215,99.07080126675248,11.0,1007.43,14.0,14.0
ACC00830,0,2,0.011005502751375688,0.0035762375682335664,0.00039784125993159807,3.829600818846222e-06,0.0,581.75,10.0,58.175,64.69249814829125,10.0,796.15,12.0,12.0
ACC01997,1,2,0.009504752376188093,0.004667373726903492,0.0002913266702880223,0.0,0.0,416.92,6.0,69.48666666666666,69.9352096348232,6.0,435.02,13.0,13.0
ACC00868,0,1,0.0080040020010005,0.0001959187802109263,0.00021587823053944482,1.5296565331957334e-05,0.0,614.98,7.0,87.85428571428572,68.046077980817,7.0,372.39,9.0,9.0
ACC00406,0,8,0.010005002501250625,0.0014126182210224233,0.0007008096895528901,1.2099224791790814e-05,0.0,287.24,9.0,31.915555555555557,41.8519456271483,9.0,1106.3000000000002,11.0,11.0
ACC01316,1,2,0.011505752876438218,0.0025456922655521957,0.0002488485337888428,4.173602286557973e-06,0.0,412.15,11.0,37.46818181818182,22.301567576375355,11.0,397.88,12.0,12.0
ACC00258,0,2,0.013506753376688344,0.003007634948605434,0.0007655960243611831,2.2519027059793407e-06,0.0,361.73,9.0,40.19222222222223,33.28155486819155,9.0,1494.78,18.0,18.0
ACC00647,0,1,0.011505752876438218,0.0006395840562924105,0.00037763351010433556,3.7366828835427986e-06,0.0,744.24,9.0,82.69333333333333,121.05721436577004,9.0,422.83,14.0,14.0
ACC01983,0,3,0.009504752376188093,0.0005132696478369315,0.00039666282930942646,1.8089611022275333e-06,0.0,661.93,13.0,50.917692307692306,52.95474091993498,13.0,209.66,6.0,6.0
ACC01891,0,2,0.015507753876938469,0.005021905347067928,0.0006728907475874857,1.5265497262641115e-06,0.0,883.45,17.0,51.96764705882353,49.33198259362426,17.0,1006.21,14.0,14.0
ACC00473,0,5,0.004502251125562781,0.0004516772900964997,0.0002844644073307054,0.0,0.0,54.9,5.0,10.98,7.332029050678945,5.0,286.51,4.0,4.0
ACC01055,0,7,0.013006503251625811,0.007304077464157505,0.0007678138328411872,3.0215488985764368e-06,0.0,752.77,15.0,50.184666666666665,47.564978693312135,15.0,1101.85,12.0,11.0
ACC00332,0,1,0.012006003001500749,0.004067849740686159,0.0006214285383542569,0.0,0.0,568.52,14.0,40.60857142857143,52.67867848601527,13.0,861.75,11.0,11.0
ACC00972,0,2,0.013506753376688344,0.002423634239542194,0.0004884311812780432,7.2054292989822624e-06,0.0,1365.02,17.0,80.29529411764706,126.73724482751939,17.0,1521.8,10.0,10.0
ACC00054,0,3,0.011005502751375688,0.00041362022352517603,0.0003566820170631455,0.0,0.0,603.93,11.0,54.90272727272727,40.16509880254475,11.0,607.83,11.0,11.0
ACC01584,0,1,0.006003001500750374,0.001022908851823309,0.00013933850753716835,0.0,0.0,245.67000000000002,7.0,35.09571428571429,26.55143615522072,7.0,128.99,5.0,5.0
ACC00848,0,3,0.010505252626313155,0.004625185465605676,0.00027069526970981465,2.0349980510476937e-06,0.0,771.6,12.0,64.3,81.01312789239219,12.0,305.77,9.0,9.0
ACC00806,1,6,0.015507753876938469,0.007089380526098886,0.0004917566100344454,3.1840554310332595e-06,0.0,1388.27,16.0,86.766875,100.2126973803719,16.0,22315.409999999996,15.0,15.0
ACC00849,0,3,0.01700850425212606,0.030706294087984934,0.0006491296892978284,1.2825753824195596e-06,0.0,853.09,16.0,53.318125,53.50334596624152,16.0,885.44,18.0,18.0
ACC00228,1,2,0.009004502251125562,0.002035427122970895,0.0006376496856876305,7.1340046080679486e-06,0.0,147.10999999999999,6.0,24.51833333333333,21.83391620087122,4.0,876.05,14.0,14.0
ACC01385,1,2,0.0080040020010005,0.0007861788752233976,0.0018929701329369565,0.00014375932059597683,0.0,40297.99,2.0,20148.995,28436.46183997668,2.0,18000.65,16.0,14.0
ACC00356,0,3,0.010505252626313155,0.0017403596693241516,0.00030487987332973934,3.845495270224008e-06,0.0,360.78999999999996,8.0,45.098749999999995,32.01923370078856,8.0,445.98,13.0,13.0
ACC01336,0,1,0.014507253626813406,0.003947293967303972,0.0006405156117069666,9.137177795010203e-06,0.0,1322.65,17.0,77.8029411764706,97.0367922983794,17.0,845.82,12.0,12.0
ACC01019,0,1,0.012006003001500749,0.001673509427386366,0.000718171734494114,1.1130951524154293e-05,0.0,431.5,10.0,43.15,50.68053779421752,10.0,1386.8600000000001,14.0,14.0
ACC01994,0,1,0.00850425212606303,0.0029790921486769414,0.00032551435675203986,6.243802365524199e-06,0.0,245.92000000000002,8.0,30.740000000000002,16.03585625136013,8.0,341.12,9.0,9.0
ACC00673,0,8,0.00850425212606303,0.0007531293174114585,0.00020759211003222862,1.639805265427396e-05,0.0,331.31,11.0,30.11909090909091,18.513371089321065,11.0,231.95000000000002,6.0,6.0
ACC00022,0,5,0.012006003001500749,0.0049127416561133425,0.000524884833333877,6.146984223371166e-06,0.0,1030.56,13.0,79.27384615384615,90.24793769928685,13.0,1054.23,11.0,11.0
ACC00223,0,5,0.013006503251625811,0.0046543542041290915,0.0003232211461049251,1.4928194129668e-06,0.0,1203.3899999999999,20.0,60.16949999999999,76.28282199365589,20.0,429.83,6.0,6.0
ACC01128,0,2,0.011005502751375688,0.002638080802162843,0.0002654166155821115,0.0,0.0,723.48,13.0,55.652307692307694,79.48599081534707,13.0,350.94,9.0,9.0
ACC00016,0,2,0.009504752376188093,0.002890459243635832,0.00041537459169733624,2.8597111094097025e-06,0.0,630.5,10.0,63.05,51.21912251406803,10.0,445.84000000000003,9.0,9.0
ACC01570,0,0,0.010005002501250625,0.017995359040881804,0.00031450101391988837,1.1779751398703209e-05,0.0,336.06,8.0,42.0075,31.066709214665327,8.0,303.34000000000003,12.0,12.0
ACC00893,0,1,0.018009004502251125,0.020573224550213046,0.0009241620354386421,6.991273932275822e-06,0.0,1216.3,23.0,52.88260869565217,57.70218573277723,23.0,822.97,13.0,13.0
ACC01306,0,3,0.011005502751375688,0.0011261887199856184,0.0007160779278220211,9.085694458146869e-06,0.0,615.04,11.0,55.91272727272727,43.76363172564843,11.0,999.06,11.0,11.0
ACC00146,1,1,0.006003001500750374,0.0006149220756524409,0.0007232410586868992,0.0003251284496483615,0.0,5215.0199999999995,2.0,2607.5099999999998,3668.5689757451746,2.0,51559.33,11.0,10.0
ACC01769,0,1,0.011505752876438218,0.0008572854996066602,0.0003458458474353617,4.0944878936870745e-06,0.0,791.49,13.0,60.88384615384616,34.87977483166559,13.0,375.87,10.0,10.0
ACC00132,0,1,0.009004502251125562,0.0017633942096173213,0.00020089779847114176,0.0,0.0,534.86,11.0,48.623636363636365,43.158637900825205,11.0,398.23,7.0,7.0
ACC00674,0,1,0.013006503251625811,0.0026979205318374906,0.0004053160874711751,1.0376105364599572e-06,0.0,670.03,14.0,47.85928571428571,55.20045881418653,14.0,734.26,12.0,12.0
ACC00910,0,3,0.012006003001500749,0.0003785676622094831,0.00033118232946114095,0.0,0.0,1105.27,12.0,92.10583333333334,119.45215059202829,12.0,515.0500000000001,12.0,12.0
ACC01454,1,5,0.011005502751375688,0.00043965926907397644,0.0014994251697358495,0.0017042412461247146,0.0,102546.69,10.0,10254.669,12837.477687352632,8.0,65213.700000000004,15.0,14.0
ACC01866,1,3,0.013506753376688344,0.0073391300254731975,0.0004111397369152823,4.58893960532185e-06,0.0,769.16,12.0,64.09666666666666,97.09543265480741,12.0,683.87,15.0,15.0
ACC00809,0,3,0.00850425212606303,0.0007737852910439204,0.00042140116819002035,9.29982225531465e-07,0.0,424.77,8.0,53.09625,45.81680070438916,8.0,618.18,9.0,9.0
ACC00993,0,1,0.007003501750875437,0.00027090622388271213,0.0001824101461902442,2.7327116889973615e-06,0.0,585.9,9.0,65.1,61.054990377527695,9.0,223.68,5.0,5.0
ACC01660,0,1,0.011005502751375688,0.001053329467536571,0.00046106254125605,1.0574634255987712e-05,0.0,717.01,12.0,59.75083333333333,61.84887747321668,12.0,591.89,10.0,10.0
ACC00336,0,1,0.010505252626313155,0.0002456183046478194,0.0004709127111305689,3.8113634764682133e-06,0.0,659.15,11.0,59.92272727272727,35.05670751536975,11.0,747.51,10.0,10.0
ACC00105,0,1,0.012006003001500749,0.0027941898877366614,0.0003383567314186711,2.6512041706654784e-06,0.0,405.73,8.0,50.71625,35.559050661239134,8.0,566.55,16.0,16.0
ACC01215,0,1,0.011005502751375688,0.004435150508187027,0.00012380459749667901,0.0,0.0,664.0699999999999,16.0,41.504374999999996,45.19647876678742,16.0,150.11,6.0,6.0
ACC01652,0,2,0.010505252626313155,0.0008048318453521055,0.0004187916896039661,1.4236168671153032e-05,0.0,1337.83,12.0,111.48583333333333,119.37047270488577,12.0,772.4300000000001,9.0,9.0
ACC01296,0,6,0.013506753376688344,0.006551699273059953,0.0005737236396398693,4.118553451288293e-06,0.0,706.88,11.0,64.26181818181819,109.62929989908554,11.0,953.43,16.0,16.0
ACC01370,0,6,0.007503751875937968,0.00030320465538074344,0.0003752377387859306,6.835665243606696e-06,0.0,952.8,7.0,136.1142857142857,186.36703614616175,7.0,517.4,8.0,8.0
ACC01216,1,2,0.010005002501250625,0.004766647588058294,0.0004824096254893789,2.609548832162441e-06,0.0,561.49,8.0,70.18625,114.66916261731897,8.0,738.01,12.0,12.0
ACC01653,0,2,0.012006003001500749,0.004071104621379759,0.0003619037104045763,5.164943717245575e-06,0.0,667.93,13.0,51.379230769230766,55.69760384755321,13.0,465.34,11.0,11.0
ACC01483,0,2,0.006503251625812906,0.0,0.00025461170302872927,0.0,0.0,760.67,10.0,76.067,65.19549866022618,10.0,259.23,3.0,3.0
ACC00853,0,2,0.007003501750875437,0.0007213316367893657,0.00021400897542112537,0.0,0.0,371.52,6.0,61.919999999999995,62.37501839679087,6.0,313.84000000000003,8.0,8.0
ACC00323,0,1,0.013506753376688344,0.0010878812779763255,0.00034079009974779075,6.057886332150784e-06,0.0,1353.13,18.0,75.1738888888889,136.04418301068867,18.0,553.61,9.0,9.0
ACC00230,0,1,0.010505252626313155,0.0001649974136217258,0.0004063124176075111,2.953524418290793e-06,0.0,645.62,12.0,53.80166666666667,36.97553511404124,12.0,1072.33,9.0,9.0
ACC00056,0,1,0.009504752376188093,0.005399221132087566,0.0006531490185802011,5.829845903906215e-06,0.0,511.63,7.0,73.09,65.76762526755344,7.0,912.44,12.0,12.0
ACC01621,0,2,0.0080040020010005,0.000998997997497247,0.0007509973088822452,0.0,0.0,561.57,7.0,80.22428571428573,77.55450660817911,7.0,1524.9,9.0,9.0
ACC01324,0,2,0.009504752376188093,0.0016125430082408574,0.0002517863540239066,0.0,0.0,623.46,13.0,47.95846153846154,41.422820772724194,13.0,354.68,6.0,6.0
ACC00633,0,3,0.013506753376688344,0.0015509506505004254,0.0003965588122270327,2.6006872834395284e-06,0.0,1393.23,19.0,73.32789473684211,94.69650319596737,19.0,638.16,8.0,8.0
ACC01060,0,2,0.00850425212606303,0.0027588869509829993,0.00015475017198807915,0.0,0.0,374.83,7.0,53.54714285714285,66.63242471807195,7.0,265.02,10.0,10.0
ACC00494,0,2,0.009504752376188093,0.003240734481354792,0.0001652657376081241,0.0,0.0,312.71,13.0,24.05461538461538,22.757796325429744,13.0,187.03,6.0,6.0
ACC01758,0,2,0.012006003001500749,0.004559712288576721,0.0004864998411520506,6.75363852140143e-06,0.0,1002.9399999999999,14.0,71.63857142857142,119.64763984667277,14.0,705.75,10.0,10.0
ACC00654,0,2,0.01250625312656328,0.0009058583345726918,0.00047730507053616656,5.287644762325229e-06,0.0,370.21999999999997,8.0,46.277499999999996,21.127120519099886,8.0,782.3199999999999,17.0,17.0
ACC00311,0,1,0.010005002501250625,0.004275661354200624,0.00040788581352879704,8.47501466436866e-06,0.0,810.12,11.0,73.64727272727272,89.83117065817511,11.0,902.95,9.0,9.0
ACC01487,1,1,0.019009504752376186,0.004574985190292844,0.0006808642029066415,3.412268131469242e-06,0.0,1312.4,25.0,52.496,75.7376395856116,25.0,593.21,13.0,13.0
ACC00946,0,6,0.0080040020010005,0.006588379274722446,0.0002268111242610508,0.0,0.0,749.59,9.0,83.28777777777778,96.97467321133102,9.0,275.59,7.0,7.0
ACC01186,0,3,0.010005002501250625,0.0017038048553806434,0.00018727985246364237,2.11745903196934e-06,0.0,2052.65,15.0,136.84333333333333,197.21654804759544,15.0,197.89,5.0,5.0
ACC01388,0,6,0.009504752376188093,0.0036139190716479364,0.0003471345209632,9.065008749094923e-06,0.0,508.12,10.0,50.812,41.667406340101266,10.0,411.21000000000004,9.0,9.0
ACC01916,0,6,0.015007503751875937,0.006664618595584078,0.0003754700258703246,1.7908031045898448e-06,0.0,1015.15,18.0,56.39722222222222,64.54444622807517,18.0,554.29,12.0,12.0
ACC01672,0,6,0.006003001500750374,0.00032173243779046683,0.00026361279641511234,4.9706164697870705e-06,0.0,367.74,6.0,61.29,72.77320193587745,6.0,189.0,6.0,6.0
ACC01356,0,3,0.010005002501250625,0.006740106790131803,0.0006037958839261453,0.0,0.0,541.87,10.0,54.187,81.84977052163583,10.0,1057.3999999999999,10.0,10.0
ACC01434,0,0,0.006503251625812906,0.00010490730850910942,0.00033743623780819305,0.0,0.0,637.5699999999999,5.0,127.51399999999998,135.91787476266688,5.0,666.13,8.0,8.0
ACC00250,0,3,0.012006003001500749,0.004587003211315368,0.0008854796014087094,1.0376850742995884e-05,0.0,795.37,10.0,79.537,67.34723784651867,10.0,1502.27,14.0,14.0
ACC01177,0,2,0.013506753376688344,0.005813968045083603,0.0003808056160837343,7.381027205809319e-06,0.0,1232.28,13.0,94.79076923076923,132.3098538445228,13.0,473.23,14.0,14.0
ACC00353,0,6,0.009504752376188093,0.00788933005041059,0.00041055700875705756,3.12497646992352e-06,0.0,936.67,11.0,85.15181818181817,96.98173496263941,10.0,530.66,9.0,9.0
ACC00304,0,5,0.012006003001500749,0.00476138970386094,0.0004886741716356971,5.835816603030149e-06,0.0,643.37,10.0,64.337,47.11374983307243,10.0,680.78,14.0,14.0
ACC00793,1,1,0.0080040020010005,0.0004737103286377924,0.0005286823930666571,0.00012368454746476093,0.0,48453.53,5.0,9690.706,11532.619111170283,4.0,669.71,12.0,12.0
ACC00219,1,1,0.009004502251125562,6.009010511261637e-06,0.0008628614699718664,2.6127165392856644e-06,0.0,38453.82,2.0,19226.91,27132.2670216884,2.0,41566.33,17.0,16.0
ACC00224,0,2,0.013506753376688344,0.008850521356774483,0.00018071335359991144,3.4932035160729426e-06,0.0,1776.42,20.0,88.821,137.14924989337635,20.0,238.13,7.0,7.0
ACC01661,0,2,0.012006003001500749,0.004541184506166997,0.0007573525299512882,2.5419492739023976e-06,0.0,568.32,9.0,63.146666666666675,70.65285663014625,9.0,1204.54,15.0,15.0
ACC01688,1,5,0.010005002501250625,0.00036479701312117525,0.0009825080563858862,0.005521370633081672,0.0,91458.82,8.0,11432.3525,12511.186503084522,6.0,44583.95,14.0,14.0
ACC00639,0,3,0.010005002501250625,0.0017623927078654444,0.00031622427672265677,0.0,0.0,1646.57,14.0,117.61214285714286,154.04991200050273,14.0,412.87,6.0,6.0
ACC01696,1,1,0.00850425212606303,0.0036939140240791067,0.00027626099035725515,2.083220765060401e-06,0.0,466.35999999999996,8.0,58.294999999999995,87.25645289277217,8.0,635.02,9.0,9.0
ACC00923,0,5,0.00850425212606303,0.0009692033203789083,0.0004194205440683531,4.395844309407663e-06,0.0,760.0,9.0,84.44444444444444,131.5346922974231,9.0,354.86,8.0,8.0
ACC01878,0,1,0.012006003001500749,0.0004409111462638226,0.0008169219313148938,4.7466686845379524e-06,0.0,247.04,7.0,35.29142857142857,18.02780022499642,7.0,1358.48,17.0,17.0
ACC00305,0,1,0.011505752876438218,0.0049188758543435886,0.0006927038729868833,4.259491394412943e-06,0.0,292.46000000000004,12.0,24.37166666666667,23.120620797474405,12.0,2272.99,11.0,11.0
ACC00213,0,1,0.010505252626313155,0.00310866143782602,0.00037510579104258965,0.0,0.0,421.36,13.0,32.41230769230769,26.788142636200735,13.0,520.56,8.0,8.0
ACC01854,0,2,0.009504752376188093,0.001375687843921961,0.0004075653042835954,0.0,0.0,1001.36,11.0,91.03272727272727,102.02850181110267,11.0,321.71,8.0,8.0
ACC01928,0,3,0.009504752376188093,0.0024982461200570255,0.00033865527465418415,7.272549809147266e-06,0.0,625.66,12.0,52.13833333333333,57.826934874413816,12.0,662.8000000000001,7.0,7.0
ACC00925,0,3,0.0080040020010005,0.0030850009589379274,0.00040605658847262536,2.141712220568779e-06,0.0,273.67,8.0,34.20875,23.85668366217616,8.0,630.08,8.0,8.0
ACC00333,1,4,0.009004502251125562,1.276914733643098e-05,0.0018880217752689729,0.00021426893726396229,0.0,99467.70999999999,6.0,16577.951666666664,18303.39509576015,4.0,38630.93,14.0,14.0
ACC01966,0,1,0.00850425212606303,0.0019605648670180937,0.00031675925236211266,5.647160947853561e-06,0.0,1426.0,12.0,118.83333333333333,168.65526864709636,12.0,1137.24,5.0,5.0
ACC01937,1,8,0.0080040020010005,0.001430645252556208,0.00034855118123483454,9.110922019151432e-06,0.0,415.57,9.0,46.17444444444445,40.55755204370424,8.0,17857.71,8.0,8.0
ACC00010,0,2,0.016008004002001,0.008530666734768787,0.0005680818404097406,3.1500865157742343e-06,0.0,1497.98,22.0,68.09,78.27121127391422,22.0,716.63,10.0,10.0
ACC01774,0,2,0.010005002501250625,0.002799447771934015,0.00032016560003177055,4.243004486797641e-06,0.0,1092.43,14.0,78.0307142857143,126.58250052006434,14.0,367.28999999999996,6.0,6.0
ACC00907,0,2,0.010005002501250625,0.005703302101501201,0.0002696881354448279,3.5632720120946106e-06,0.0,553.62,10.0,55.362,104.44751066657568,10.0,488.31,10.0,10.0
ACC01534,0,2,0.009004502251125562,0.0022861781240970836,0.0009104360184503625,0.0,0.0,501.88,7.0,71.69714285714285,94.91329266129968,7.0,984.41,11.0,11.0
ACC01884,0,2,0.011005502751375688,0.0011320725427778956,0.0006919928572597254,9.259728693291284e-06,0.0,498.61,9.0,55.40111111111111,41.162818612324294,9.0,974.67,13.0,13.0
ACC00029,0,2,0.0080040020010005,0.005817974052091111,0.0002725003282933628,1.581063741050625e-05,0.0,385.23,7.0,55.03285714285715,85.86708832342492,7.0,754.44,9.0,9.0
ACC00905,0,1,0.014507253626813406,0.005644839436735385,0.0006456571718811499,6.127709958112665e-06,0.0,365.76,12.0,30.48,21.7268735984641,12.0,990.5600000000001,17.0,17.0
ACC00872,0,2,0.01250625312656328,0.004608410311261737,0.0003438019824935784,2.573398135319039e-06,0.0,393.22,12.0,32.76833333333334,28.172094779096994,12.0,693.44,13.0,13.0
ACC00997,0,3,0.01250625312656328,0.0005148970881837315,0.000775455740595081,4.832706987352955e-06,0.0,1337.11,14.0,95.50785714285713,104.3991287304177,14.0,807.0,11.0,11.0
ACC01724,0,3,0.009004502251125562,0.004454179041472689,0.0005564395411308063,7.1001699232555105e-06,0.0,247.32999999999998,7.0,35.332857142857144,32.625268690738125,7.0,851.53,11.0,11.0
ACC00275,0,3,0.010505252626313155,0.001596268604772857,0.00016446536818632407,1.5395379497280375e-06,0.0,707.41,13.0,54.41615384615385,47.738892170231864,13.0,170.57999999999998,8.0,8.0
ACC00060,0,3,0.006003001500750374,0.0022443654259562216,0.0002711073104375943,0.0,0.0,269.28999999999996,4.0,67.32249999999999,106.74465525261674,4.0,965.0699999999999,8.0,8.0
ACC00591,0,1,0.012006003001500749,0.0002976963957454203,0.0008270258399982052,3.3507409745384353e-06,0.0,1950.28,15.0,130.01866666666666,127.74993513370826,15.0,729.68,9.0,9.0
ACC00450,1,6,0.0050025012506253125,0.00024661980639969637,0.00028265166263909494,0.0,0.0,42.67,2.0,21.335,21.38998013089306,2.0,551.34,8.0,8.0
ACC00045,0,1,0.010005002501250625,0.006458684797854383,0.00015222984275392668,5.69323824568992e-06,0.0,585.84,12.0,48.82,46.38635065698452,12.0,320.25,8.0,8.0
ACC01152,0,1,0.009004502251125562,0.0012361035372541126,0.0004985236173107531,4.1789608560193695e-06,0.0,79.99000000000001,4.0,19.997500000000002,5.194364734979631,4.0,750.41,14.0,14.0
